"ExcelRow","TipoActivo","Condicion","Antiguedad","Ubicacion","AlturaLibre","AlturaPuerta","Parqueadero","IndiceParqueaderos","AreaVendible","ViasAcceso","CertificacionSostenibilidad","Subarriendo","ExcelComercializacion","ExcelRestitucion","ExcelNormativo","ExcelAmbiental","ExcelGeneral","ExcelLeasingFinanciero","ExcelPlanFlexible","ReglasDRLAplicadas","DeltaRiesgo","ClasificacionDerivada","RequiereRevisionManual","AccionDerivada"
"3","BODEGA","NUEVO","MENOR_5","PARQUE_INDUSTRIAL","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","true","PROPIO","Bajo","Bajo","Medio","Bajo","Bajo","Concepto Favorable","Concepto Favorable","Bodega Matrix - Condition New | Bodega Matrix - Age Menor 5 | Bodega Matrix - Location Parque | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix - Sustainability Certification | Bodega Matrix - Sublease Own | Bodega Matrix Final Classification Favorable","-8","FAVORABLE","false","APPROVE_OR_FAVORABLE_CONCEPT"
"4","BODEGA","USADO","ENTRE_5_20","ZONA_FRANCA","DOBLE_ALTURA","ENTRE_3_5_4_5","NO","ENTRE_50_100","ENTRE_500_1000","VIA_SECUNDARIA_BUENAS","false","MENOR_1","","","","","","","","Bodega Matrix - Condition Used | Bodega Matrix - Age Entre 5 20 | Bodega Matrix - Location Zona Franca | Bodega Matrix - Height Doble | Bodega Matrix - Access Door Entre 3 5 4 5 | Bodega Matrix - Area Entre 500 1000 | Bodega Matrix - Access Road Secondary Good | Bodega Matrix - Parking Availability No | Bodega Matrix - No Sustainability Certification | Bodega Matrix - Sublease Less Than 1 | Bodega Medium Combination Requires Specialist | Bodega Matrix Final Classification Medium","34","MEDIO","true","REQUIERE_CONCEPTO_ESPECIALISTA"
"5","BODEGA","USADO","MAYOR_20","ZONA_INDUSTRIAL","TRIPLE_ALTURA","MAYOR_4_5","INCIERTO","MAYOR_100","ENTRE_1000_5000","VIA_SECUNDARIA_REGULARES","false","ENTRE_1_5","","","","","","","","Bodega Matrix - Condition Used | Bodega Matrix - Age Mayor 20 | Bodega Matrix - Location Zona Industrial | Bodega Matrix - Height Triple | Bodega Matrix - Access Door Mayor 4 5 | Bodega Matrix - Area Entre 1000 5000 | Bodega Matrix - Access Road Secondary Regular | Bodega Matrix - Parking Availability Uncertain | Bodega Matrix - Parking Index Mayor 100 | Bodega Matrix - No Sustainability Certification | Bodega Matrix - Sublease Between 1 5 | Bodega Matrix Final Classification Medium","38","MEDIO","true","REQUIERE_CONCEPTO_ESPECIALISTA"
"6","BODEGA","USADO","MAYOR_20","OTRA_UBICACION","TRIPLE_ALTURA","MAYOR_4_5","INCIERTO","MAYOR_100","MAYOR_5000","VIA_SECUNDARIA_REGULARES","false","ENTRE_5_10","","","","","","","","Bodega Matrix - Condition Used | Bodega Matrix - Age Mayor 20 | Bodega Matrix - Location Otra | Bodega Matrix - Height Triple | Bodega Matrix - Access Door Mayor 4 5 | Bodega Matrix - Area Mayor 5000 | Bodega Matrix - Access Road Secondary Regular | Bodega Matrix - Parking Availability Uncertain | Bodega Matrix - Parking Index Mayor 100 | Bodega Matrix - No Sustainability Certification | Bodega Matrix - Sublease Between 5 10 | Bodega Not Favorable Old And Very Large | Bodega Not Favorable Other Location And Very Large | Bodega Matrix Final Classification Not Favorable","124","NO_FAVORABLE","true","MANUAL_REVIEW_OR_REJECT"
"7","BODEGA","USADO","MAYOR_20","OTRA_UBICACION","TRIPLE_ALTURA","MAYOR_4_5","INCIERTO","MAYOR_100","MAYOR_5000","VIA_SECUNDARIA_REGULARES","false","MAYOR_10","","","","","","","","Bodega Matrix - Condition Used | Bodega Matrix - Age Mayor 20 | Bodega Matrix - Location Otra | Bodega Matrix - Height Triple | Bodega Matrix - Access Door Mayor 4 5 | Bodega Matrix - Area Mayor 5000 | Bodega Matrix - Access Road Secondary Regular | Bodega Matrix - Parking Availability Uncertain | Bodega Matrix - Parking Index Mayor 100 | Bodega Matrix - No Sustainability Certification | Bodega Matrix - Sublease Greater Than 10 | Bodega Not Favorable Old And Very Large | Bodega Not Favorable Other Location And Very Large | Bodega Matrix Final Classification Not Favorable","121","NO_FAVORABLE","true","MANUAL_REVIEW_OR_REJECT"
"34","BODEGA","USADO","MENOR_5","PARQUE_INDUSTRIAL","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","","","Alto","Bajo","Medio","Bajo","Medio","Requiere concepto especialista","Requiere concepto especialista","Bodega Matrix - Condition Used | Bodega Matrix - Age Menor 5 | Bodega Matrix - Location Parque | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix Final Classification Favorable","11","FAVORABLE","false","APPROVE_OR_FAVORABLE_CONCEPT"
"35","BODEGA","USADO","ENTRE_5_20","PARQUE_INDUSTRIAL","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","","","Alto","Bajo","Medio","Bajo","Medio","Requiere concepto especialista","Requiere concepto especialista","Bodega Matrix - Condition Used | Bodega Matrix - Age Entre 5 20 | Bodega Matrix - Location Parque | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix Final Classification Medium","23","MEDIO","true","REQUIERE_CONCEPTO_ESPECIALISTA"
"36","BODEGA","USADO","MAYOR_20","PARQUE_INDUSTRIAL","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","","","Alto","Bajo","Medio","Bajo","Medio","Requiere concepto especialista","Requiere concepto especialista","Bodega Matrix - Condition Used | Bodega Matrix - Age Mayor 20 | Bodega Matrix - Location Parque | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix Final Classification Medium","33","MEDIO","true","REQUIERE_CONCEPTO_ESPECIALISTA"
"37","BODEGA","USADO","MENOR_5","ZONA_FRANCA","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","","","Alto","Bajo","Medio","Bajo","Medio","Requiere concepto especialista","Requiere concepto especialista","Bodega Matrix - Condition Used | Bodega Matrix - Age Menor 5 | Bodega Matrix - Location Zona Franca | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix Final Classification Favorable","14","FAVORABLE","false","APPROVE_OR_FAVORABLE_CONCEPT"
"38","BODEGA","USADO","ENTRE_5_20","ZONA_FRANCA","MENOR_7","MENOR_3_5","SI","MENOR_50","MENOR_500","VIA_PRINCIPAL","","","Alto","Bajo","Medio","Bajo","Medio","Requiere concepto especialista","Requiere concepto especialista","Bodega Matrix - Condition Used | Bodega Matrix - Age Entre 5 20 | Bodega Matrix - Location Zona Franca | Bodega Matrix - Height Menor 7 | Bodega Matrix - Access Door Menor 3 5 | Bodega Matrix - Area Menor 500 | Bodega Matrix - Access Road Principal | Bodega Matrix - Parking Availability Yes | Bodega Matrix - Parking Index Menor 50 | Bodega Matrix Final Classification Medium","26","MEDIO","true","REQUIERE_CONCEPTO_ESPECIALISTA"
